*
	5	ANALOG	1	4	23	24	64	77,1	77,4	78,1	78,4
*	Type	Name	pUNIT	pScale	pConfiguredAORGroup	NominalHiLimits	NominalHiLimits2	NominalLowLimits	NominalLowLimits2
	C	'CURRHRAVG_KW'	KW	1.0	CALC	0,0,,0	0,0	0,0,0,0	0,0
	C	'CURRHRAVG_KVAR'	KVAR	1.0	CALC	0,0,,0	0,0	0,0,0,0	0,0
	T	'PRI_KW_COMP'	KW	0.048	PRIIP	0,0,,0	0,0	0,0,0,0	0,0
	T	'PRI_KW_A'	KW	0.048	PRIIP	0,0,,0	0,0	0,0,0,0	0,0
	T	'PRI_KW_B'	KW	0.048	PRIIP	0,0,,0	0,0	0,0,0,0	0,0
	T	'PRI_KW_C'	KW	0.048	PRIIP	0,0,,0	0,0	0,0,0,0	0,0
	T	'PRI_KVAR_COMP'	KVAR	0.048	PRIIP	0,0,,0	0,0	0,0,0,0	0,0
	T	'PRI_KVAR_A'	KVAR	0.048	PRIIP	0,0,,0	0,0	0,0,0,0	0,0
	T	'PRI_KVAR_B'	KVAR	0.048	PRIIP	0,0,,0	0,0	0,0,0,0	0,0
	T	'PRI_KVAR_C'	KVAR	0.048	PRIIP	0,0,,0	0,0	0,0,0,0	0,0
	T	'PRI_V'	kV	0.00012	PRIIP	0,0,,0	0,0	0,0,0,0	0,0
	T	'PRI_V_A'	kV	0.00012	PRIIP	0,0,,0	0,0	10,0,0,0	0,0
	T	'PRI_V_B'	kV	0.00012	PRIIP	0,0,,0	0,0	10,0,0,0	0,0
	T	'PRI_V_C'	kV	0.00012	PRIIP	0,0,,0	0,0	10,0,0,0	0,0
	T	'PRI_A'	A	0.4	PRIIP	0,0,,0	0,0	0,0,0,0	0,0
	T	'PRI_A_A'	A	0.4	PRIIP	0,0,,0	0,0	5,0,0,0	0,0
	T	'PRI_A_B'	A	0.4	PRIIP	0,0,,0	0,0	5,0,0,0	0,0
	T	'PRI_A_C'	A	0.4	PRIIP	0,0,,0	0,0	5,0,0,0	0,0
	T	'PRI_PF'	nan	0.001	PRIIP	0,0,,0	0,0	0,0,0,0	0,0
	T	'PRI_PF_A'	nan	0.001	PRIIP	0,0,,0	0,0	0,0,0,0	0,0
	T	'PRI_PF_B'	nan	0.001	PRIIP	0,0,,0	0,0	0,0,0,0	0,0
	T	'PRI_PF_C'	nan	0.001	PRIIP	0,0,,0	0,0	0,0,0,0	0,0
	T	'PRI_KW'	KW	0.048	PRIIP	0,0,,0	0,0	0,0,0,0	0,0
	C	'KVAR_COMP'	KVAR	1.0	SELECTEDIP	0,0,,0	0,0	0,0,0,0	0,0
	T	'CHK_KVAR_COMP'	KVAR	0.048	ALTIP	0,0,,0	0,0	0,0,0,0	0,0
	C	'A_N'	A	1.0	SELECTEDIP	0,0,,0	0,0	0,0,0,0	0,0
	T	'CHK_FREQUENCY'	nan	0.001	PRIIP	0,0,,0	0,0	0,0,0,0	0,0
	C	'FREQUENCY'	nan	1.0	SELECTEDIP	0,0,,0	0,0	0,0,0,0	0,0
	C	'A_N'	A	1.0	SELECTEDIP	0,0,,0	0,0	0,0,0,0	0,0
	T	'CHK_A_N'	A	0.4	ALTIP	0,0,,0	0,0	0,0,0,0	0,0
	T	'CHK_KW_COMP'	KW	0.048	ALTIP	0,0,,0	0,0	0,0,0,0	0,0
	T	'CHK_KW_A'	KW	0.048	ALTIP	0,0,,0	0,0	0,0,0,0	0,0
	C	'A_N'	A	1.0	SELECTEDIP	0,0,,0	0,0	0,0,0,0	0,0
	T	'CHK_A_N'	A	3.0	ALTIP	0,0,,0	0,0	0,0,0,0	0,0
	T	'CHK_FREQUENCY'	nan	0.01	PRIIP	0,0,,0	0,0	0,0,0,0	0,0
	T	'CHK_KW'	KW	18.0	ALTIP	0,0,,0	0,0	0,0,0,0	0,0
	T	'PRI_A_N'	A	3.0	PRIIP	0,0,,0	0,0	0,0,0,0	0,0
	T	'PRI_FREQUENCY'	nan	0.01	PRIIP	0,0,,0	0,0	0,0,0,0	0,0
	T	'CHK_V'	V	0.00012	ALTIP	0,0,,0	0,0	0,0,0,0	0,0
	T	'CHK_V_A'	kV	0.00012	ALTIP	0,0,,0	0,0	0,0,0,0	0,0
	T	'CHK_V_B'	kV	0.00012	ALTIP	0,0,,0	0,0	0,0,0,0	0,0
