"PKey","Name","ProjectId","FunctionId","TemplateId","IsTemplate","P1Type","P1Const","P1Pid","P2Type","P2Const","P2Pid","P3Type","P3Const","P3Pid","P4Type","P4Const","P4Pid","P5Type","P5Const","P5Pid","P6Type","P6Const","P6Pid","P7Type","P7Const","P7Pid","P8Type","P8Const","P8Pid"
"1","61de6454-b0c2-49f1-8aa4-1392577b4c38","0","29","","0","0","0","SYS$,HOSTA:S","0","0","SYS$,HOSTB:S","0","0","","0","0","","0","0","","0","0","","0","0","","0","0",""
"2","8cdad876-2463-4812-ac6d-a2c68cfa1a92","0","34","","0","0","0","ABB01,KW_COMP:A","0","0","ABB01,KW_COMP_STATUS:S","0","0","ABB01,PRI_KW_COMP:A","0","0","ABB01,CHK_KW_COMP:A","0","0","ABB01,KW_COMP_ESTIMATE:A","0","0","","0","0","","0","0",""
"3","abbdfe19-cc97-4b43-9fc0-962df22d1af4","0","34","","0","0","0","ABB01,KW_A:A","0","0","ABB01,KW_A_STATUS:S","0","0","ABB01,PRI_KW_A:A","0","0","ABB01,CHK_KW_A:A","0","0","","0","0","","0","0","","0","0",""
"4","05a56f16-c67e-49bb-b1a9-eff89655df9e","0","34","","0","0","0","ABB01,KW_B:A","0","0","ABB01,KW_B_STATUS:S","0","0","ABB01,PRI_KW_B:A","0","0","ABB01,CHK_KW_B:A","0","0","","0","0","","0","0","","0","0",""
"5","c23a7b58-87a3-473b-baba-581792f2cac4","0","34","","0","0","0","ABB01,KW_C:A","0","0","ABB01,KW_C_STATUS:S","0","0","ABB01,PRI_KW_C:A","0","0","ABB01,CHK_KW_C:A","0","0","","0","0","","0","0","","0","0",""
"6","146a991e-a210-441c-99d4-e5eb81d1df5a","0","34","","0","0","0","ABB01,KVAR_COMP:A","0","0","ABB01,KVAR_COMP_STATUS:S","0","0","ABB01,PRI_KVAR_COMP:A","0","0","ABB01,CHK_KVAR_COMP:A","0","0","","0","0","","0","0","","0","0",""
"7","d28a1cc2-8fc1-45cb-91f8-cd306abd3f3b","0","34","","0","0","0","ABB01,KVAR:A","0","0","ABB01,KVAR_STATUS:S","0","0","ABB01,PRI_KVAR:A","0","0","ABB01,CHK_KVAR:A","0","0","","0","0","","0","0","","0","0",""
"8","b6335a5e-d872-489f-8a52-1fcab31aba5b","0","34","","0","0","0","ABB01,KVAR_A:A","0","0","ABB01,KVAR_A_STATUS:S","0","0","ABB01,PRI_KVAR_A:A","0","0","ABB01,CHK_KVAR_A:A","0","0","","0","0","","0","0","","0","0",""
"9","ad62edc7-9e54-4ff1-9333-8893232882f8","0","34","","0","0","0","ABB01,KVAR_B:A","0","0","ABB01,KVAR_B_STATUS:S","0","0","ABB01,PRI_KVAR_B:A","0","0","ABB01,CHK_KVAR_B:A","0","0","","0","0","","0","0","","0","0",""
"10","a1942c26-ec07-4f26-8f3d-c97ab9632fde","0","34","","0","0","0","ABB01,KVAR_C:A","0","0","ABB01,KVAR_C_STATUS:S","0","0","ABB01,PRI_KVAR_C:A","0","0","ABB01,CHK_KVAR_C:A","0","0","","0","0","","0","0","","0","0",""
"11","bbafefa0-45ef-473c-91ae-cd9c31c3ffc0","0","34","","0","0","0","ABB01,V:A","0","0","ABB01,V_STATUS:S","0","0","ABB01,PRI_V:A","0","0","ABB01,CHK_V:A","0","0","","0","0","","0","0","","0","0",""
"12","488b6155-b363-4bc0-b9e7-19edb74b284d","0","34","","0","0","0","ABB01,V_A:A","0","0","ABB01,V_A_STATUS:S","0","0","ABB01,PRI_V_A:A","0","0","ABB01,CHK_V_A:A","0","0","","0","0","","0","0","","0","0",""
"13","0a9b4057-a8a9-48ed-b7c2-5e346c1d65ea","0","34","","0","0","0","ABB01,V_B:A","0","0","ABB01,V_B_STATUS:S","0","0","ABB01,PRI_V_B:A","0","0","ABB01,CHK_V_B:A","0","0","","0","0","","0","0","","0","0",""
"14","9fe5e1d7-177a-48b0-94e4-e40c5a133961","0","34","","0","0","0","ABB01,V_C:A","0","0","ABB01,V_C_STATUS:S","0","0","ABB01,PRI_V_C:A","0","0","ABB01,CHK_V_C:A","0","0","","0","0","","0","0","","0","0",""
"15","61c34cb3-f8c4-4bef-95ea-1eff6cb862e2","0","34","","0","0","0","ABB01,A:A","0","0","ABB01,A_STATUS:S","0","0","ABB01,PRI_A:A","0","0","ABB01,CHK_A:A","0","0","","0","0","","0","0","","0","0",""
"16","a5b50c52-6910-4dac-aced-dd5327ef84a3","0","34","","0","0","0","ABB01,A_A:A","0","0","ABB01,A_A_STATUS:S","0","0","ABB01,PRI_A_A:A","0","0","ABB01,CHK_A_A:A","0","0","","0","0","","0","0","","0","0",""
"17","c46c57bb-ef4e-4795-ac93-9fe03eae3e6c","0","34","","0","0","0","ABB01,A_B:A","0","0","ABB01,A_B_STATUS:S","0","0","ABB01,PRI_A_B:A","0","0","ABB01,CHK_A_B:A","0","0","","0","0","","0","0","","0","0",""
"18","428bca26-f9b5-4202-8999-493521f38da0","0","34","","0","0","0","ABB01,A_C:A","0","0","ABB01,A_C_STATUS:S","0","0","ABB01,PRI_A_C:A","0","0","ABB01,CHK_A_C:A","0","0","","0","0","","0","0","","0","0",""
"19","29d0ce25-eb04-435f-91da-0b2f2572c0bb","0","34","","0","0","0","ABB01,A_N:A","0","0","ABB01,A_N_STATUS:S","0","0","ABB01,PRI_A_N:A","0","0","ABB01,CHK_A_N:A","0","0","","0","0","","0","0","","0","0",""
"20","19782823-1b4d-4465-bc47-18af71f9feea","0","34","","0","0","0","ABB01,PF:A","0","0","ABB01,PF_STATUS:S","0","0","ABB01,PRI_PF:A","0","0","ABB01,CHK_PF:A","0","0","","0","0","","0","0","","0","0",""
"21","1706dcc1-0d6c-42c5-b3f0-d47c75c43a1c","0","34","","0","0","0","ABB01,PF_A:A","0","0","ABB01,PF_A_STATUS:S","0","0","ABB01,PRI_PF_A:A","0","0","ABB01,CHK_PF_A:A","0","0","","0","0","","0","0","","0","0",""
"22","71e96391-29eb-4579-bb18-260ca4430145","0","34","","0","0","0","ABB01,PF_B:A","0","0","ABB01,PF_B_STATUS:S","0","0","ABB01,PRI_PF_B:A","0","0","ABB01,CHK_PF_B:A","0","0","","0","0","","0","0","","0","0",""
"23","41c14687-ece2-4d38-b452-85ae63fca6c2","0","34","","0","0","0","ABB01,PF_C:A","0","0","ABB01,PF_C_STATUS:S","0","0","ABB01,PRI_PF_C:A","0","0","ABB01,CHK_PF_C:A","0","0","","0","0","","0","0","","0","0",""
"24","7f255aef-d834-4a69-bfdb-e84601988aeb","0","34","","0","0","0","ABB01,KW:A","0","0","ABB01,KW_STATUS:S","0","0","ABB01,PRI_KW:A","0","0","ABB01,CHK_KW:A","0","0","","0","0","","0","0","","0","0",""
"25","69641af7-d478-4401-8f33-c32e54cb9cf1","0","34","","0","0","0","ABB01,FREQUENCY:A","0","0","ABB01,FREQUENCY_STATUS:S","0","0","ABB01,PRI_FREQUENCY:A","0","0","ABB01,CHK_FREQUENCY:A","0","0","","0","0","","0","0","","0","0",""
"26","19fda685-6d6a-4fcf-a043-bf1349333c21","0","34","","0","0","0","CLI01,KW_COMP:A","0","0","CLI01,KW_COMP_STATUS:S","0","0","CLI01,PRI_KW_COMP:A","0","0","CLI01,CHK_KW_COMP:A","0","0","CLI01,KW_COMP_ESTIMATE:A","0","0","","0","0","","0","0",""
"27","55382a53-e918-457a-b2d5-10a74a2643e3","0","34","","0","0","0","CLI01,KVAR_COMP:A","0","0","CLI01,KVAR_COMP_STATUS:S","0","0","CLI01,PRI_KVAR_COMP:A","0","0","CLI01,CHK_KVAR_COMP:A","0","0","","0","0","","0","0","","0","0",""
"28","12727c55-3e03-4490-a5d8-31fd68b88a10","0","34","","0","0","0","CLI01,KW:A","0","0","CLI01,KW_STATUS:S","0","0","CLI01,PRI_KW:A","0","0","CLI01,CHK_KW:A","0","0","","0","0","","0","0","","0","0",""
"29","2aeee0dc-683e-4fad-b5bb-f1bf920633b8","0","34","","0","0","0","CLI01,KW_A:A","0","0","CLI01,KW_A_STATUS:S","0","0","CLI01,PRI_KW_A:A","0","0","CLI01,CHK_KW_A:A","0","0","","0","0","","0","0","","0","0",""
"30","e4045940-0067-430e-885d-485b217c755d","0","34","","0","0","0","CLI01,KW_B:A","0","0","CLI01,KW_B_STATUS:S","0","0","CLI01,PRI_KW_B:A","0","0","CLI01,CHK_KW_B:A","0","0","","0","0","","0","0","","0","0",""
"31","4afd4054-bc1b-4015-955a-7881f46fd8c1","0","34","","0","0","0","CLI01,KW_C:A","0","0","CLI01,KW_C_STATUS:S","0","0","CLI01,PRI_KW_C:A","0","0","CLI01,CHK_KW_C:A","0","0","","0","0","","0","0","","0","0",""
"32","1874badd-cf43-4913-b6f5-4f424a0d090a","0","34","","0","0","0","CLI01,KVAR:A","0","0","CLI01,KVAR_STATUS:S","0","0","CLI01,PRI_KVAR:A","0","0","CLI01,CHK_KVAR:A","0","0","","0","0","","0","0","","0","0",""
"33","0a8ba871-3bd1-4b30-a38c-318748c88f2b","0","34","","0","0","0","CLI01,KVAR_A:A","0","0","CLI01,KVAR_A_STATUS:S","0","0","CLI01,PRI_KVAR_A:A","0","0","CLI01,CHK_KVAR_A:A","0","0","","0","0","","0","0","","0","0",""
"34","33e04cc7-db00-427d-9cf0-f7220d012885","0","34","","0","0","0","CLI01,KVAR_B:A","0","0","CLI01,KVAR_B_STATUS:S","0","0","CLI01,PRI_KVAR_B:A","0","0","CLI01,CHK_KVAR_B:A","0","0","","0","0","","0","0","","0","0",""
"35","7dedc747-ebd9-40d5-bfe9-8d9931c610ab","0","34","","0","0","0","CLI01,KVAR_C:A","0","0","CLI01,KVAR_C_STATUS:S","0","0","CLI01,PRI_KVAR_C:A","0","0","CLI01,CHK_KVAR_C:A","0","0","","0","0","","0","0","","0","0",""
"36","aa804395-9b3c-4a15-8ded-c8f53a52e4bf","0","34","","0","0","0","CLI01,FREQUENCY:A","0","0","CLI01,FREQUENCY_STATUS:S","0","0","CLI01,PRI_FREQUENCY:A","0","0","CLI01,CHK_FREQUENCY:A","0","0","","0","0","","0","0","","0","0",""
"37","b49716e7-e092-435d-9e9a-f979f50b4d11","0","34","","0","0","0","CLI01,V:A","0","0","CLI01,V_STATUS:S","0","0","CLI01,PRI_V:A","0","0","CLI01,CHK_V:A","0","0","","0","0","","0","0","","0","0",""
"38","2c376591-fc8c-4a49-8053-19491c7a57f9","0","34","","0","0","0","CLI01,V_A:A","0","0","CLI01,V_A_STATUS:S","0","0","CLI01,PRI_V_A:A","0","0","CLI01,CHK_V_A:A","0","0","","0","0","","0","0","","0","0",""
"39","cd513ac0-33a4-4586-82a7-eb949673b9c5","0","34","","0","0","0","CLI01,V_B:A","0","0","CLI01,V_B_STATUS:S","0","0","CLI01,PRI_V_B:A","0","0","CLI01,CHK_V_B:A","0","0","","0","0","","0","0","","0","0",""
"40","9126ac8b-c58c-40c0-996d-cb922a5f36b0","0","34","","0","0","0","CLI01,V_C:A","0","0","CLI01,V_C_STATUS:S","0","0","CLI01,PRI_V_C:A","0","0","CLI01,CHK_V_C:A","0","0","","0","0","","0","0","","0","0",""
"41","e4cb8cc8-cc21-47d5-8301-23aa862bbdc5","0","34","","0","0","0","CLI01,A:A","0","0","CLI01,A_STATUS:S","0","0","CLI01,PRI_A:A","0","0","CLI01,CHK_A:A","0","0","","0","0","","0","0","","0","0",""
"42","97da0b7f-4ed4-4832-9666-a85903b4d0af","0","34","","0","0","0","CLI01,A_A:A","0","0","CLI01,A_A_STATUS:S","0","0","CLI01,PRI_A_A:A","0","0","CLI01,CHK_A_A:A","0","0","","0","0","","0","0","","0","0",""
"43","7a51918c-10ab-407a-8d3b-ba8c04f828a1","0","34","","0","0","0","CLI01,A_B:A","0","0","CLI01,A_B_STATUS:S","0","0","CLI01,PRI_A_B:A","0","0","CLI01,CHK_A_B:A","0","0","","0","0","","0","0","","0","0",""
"44","2411996a-f002-4006-b641-98d35337d7f2","0","34","","0","0","0","CLI01,A_C:A","0","0","CLI01,A_C_STATUS:S","0","0","CLI01,PRI_A_C:A","0","0","CLI01,CHK_A_C:A","0","0","","0","0","","0","0","","0","0",""
"45","0001b7ec-264d-43fa-9a1a-a447eefaed04","0","34","","0","0","0","CLI01,A_N:A","0","0","CLI01,A_N_STATUS:S","0","0","CLI01,PRI_A_N:A","0","0","CLI01,CHK_A_N:A","0","0","","0","0","","0","0","","0","0",""
"46","f09497e3-8a7c-4f31-b251-088024f0ade8","0","34","","0","0","0","CLI01,PF:A","0","0","CLI01,PF_STATUS:S","0","0","CLI01,PRI_PF:A","0","0","CLI01,CHK_PF:A","0","0","","0","0","","0","0","","0","0",""
"47","a545770c-43e6-4aa8-ba68-6b735ca0e640","0","34","","0","0","0","CLI01,PF_A:A","0","0","CLI01,PF_A_STATUS:S","0","0","CLI01,PRI_PF_A:A","0","0","CLI01,CHK_PF_A:A","0","0","","0","0","","0","0","","0","0",""
"48","180bb30d-207c-46a2-aabb-42af078c6537","0","34","","0","0","0","CLI01,PF_B:A","0","0","CLI01,PF_B_STATUS:S","0","0","CLI01,PRI_PF_B:A","0","0","CLI01,CHK_PF_B:A","0","0","","0","0","","0","0","","0","0",""
"49","378b3002-21b0-49c0-8542-f7deb7f4d9cd","0","34","","0","0","0","CLI01,PF_C:A","0","0","CLI01,PF_C_STATUS:S","0","0","CLI01,PRI_PF_C:A","0","0","CLI01,CHK_PF_C:A","0","0","","0","0","","0","0","","0","0",""
"50","c91e3d9f-7560-4a8f-89ad-4a2cf56a564f","0","34","","0","0","0","CLI02,KW_COMP:A","0","0","CLI02,KW_COMP_STATUS:S","0","0","CLI02,PRI_KW_COMP:A","0","0","CLI02,CHK_KW_COMP:A","0","0","CLI02,KW_COMP_ESTIMATE:A","0","0","","0","0","","0","0",""
"51","2040e14a-6811-4f9b-859d-16646734422d","0","34","","0","0","0","CLI02,KVAR_COMP:A","0","0","CLI02,KVAR_COMP_STATUS:S","0","0","CLI02,PRI_KVAR_COMP:A","0","0","CLI02,CHK_KVAR_COMP:A","0","0","","0","0","","0","0","","0","0",""
"52","33d994aa-3e54-4931-8323-bcf62e2e551f","0","34","","0","0","0","CLI02,KW:A","0","0","CLI02,KW_STATUS:S","0","0","CLI02,PRI_KW:A","0","0","CLI02,CHK_KW:A","0","0","","0","0","","0","0","","0","0",""
"53","95c914ad-a377-4733-a591-2e4cfc2a8303","0","34","","0","0","0","CLI02,KW_A:A","0","0","CLI02,KW_A_STATUS:S","0","0","CLI02,PRI_KW_A:A","0","0","CLI02,CHK_KW_A:A","0","0","","0","0","","0","0","","0","0",""
"54","b7c12fe4-8992-43a8-b694-02756b94fb65","0","34","","0","0","0","CLI02,KW_B:A","0","0","CLI02,KW_B_STATUS:S","0","0","CLI02,PRI_KW_B:A","0","0","CLI02,CHK_KW_B:A","0","0","","0","0","","0","0","","0","0",""
"55","180abd6f-063b-469c-a327-f8d0bdd85676","0","34","","0","0","0","CLI02,KW_C:A","0","0","CLI02,KW_C_STATUS:S","0","0","CLI02,PRI_KW_C:A","0","0","CLI02,CHK_KW_C:A","0","0","","0","0","","0","0","","0","0",""
"56","fe3d534f-a13d-4e6e-adbb-6ae2c0cbab9b","0","34","","0","0","0","CLI02,KVAR:A","0","0","CLI02,KVAR_STATUS:S","0","0","CLI02,PRI_KVAR:A","0","0","CLI02,CHK_KVAR:A","0","0","","0","0","","0","0","","0","0",""
"57","14477415-b75b-4f2f-bc89-8a246d161181","0","34","","0","0","0","CLI02,KVAR_A:A","0","0","CLI02,KVAR_A_STATUS:S","0","0","CLI02,PRI_KVAR_A:A","0","0","CLI02,CHK_KVAR_A:A","0","0","","0","0","","0","0","","0","0",""
"58","d579c95f-fdf0-4206-93ad-a5de4181b865","0","34","","0","0","0","CLI02,KVAR_B:A","0","0","CLI02,KVAR_B_STATUS:S","0","0","CLI02,PRI_KVAR_B:A","0","0","CLI02,CHK_KVAR_B:A","0","0","","0","0","","0","0","","0","0",""
"59","7d39e5cb-a149-46fb-bef7-b6649c901e1b","0","34","","0","0","0","CLI02,KVAR_C:A","0","0","CLI02,KVAR_C_STATUS:S","0","0","CLI02,PRI_KVAR_C:A","0","0","CLI02,CHK_KVAR_C:A","0","0","","0","0","","0","0","","0","0",""
"60","f3fc4844-33c8-4f73-9c13-dc93532e195e","0","34","","0","0","0","CLI02,V:A","0","0","CLI02,V_STATUS:S","0","0","CLI02,PRI_V:A","0","0","CLI02,CHK_V:A","0","0","","0","0","","0","0","","0","0",""
"61","4b82f95e-9669-4ae9-8845-71622cfea1c5","0","34","","0","0","0","CLI02,V_A:A","0","0","CLI02,V_A_STATUS:S","0","0","CLI02,PRI_V_A:A","0","0","CLI02,CHK_V_A:A","0","0","","0","0","","0","0","","0","0",""
"62","9a80c30d-ed5f-45c6-b89d-7086a783ddf2","0","34","","0","0","0","CLI02,V_B:A","0","0","CLI02,V_B_STATUS:S","0","0","CLI02,PRI_V_B:A","0","0","CLI02,CHK_V_B:A","0","0","","0","0","","0","0","","0","0",""
"63","64011120-0d1b-4dbf-85c9-ce744af33ad5","0","34","","0","0","0","CLI02,V_C:A","0","0","CLI02,V_C_STATUS:S","0","0","CLI02,PRI_V_C:A","0","0","CLI02,CHK_V_C:A","0","0","","0","0","","0","0","","0","0",""
"64","f37467ad-4a90-49fa-aac4-599f72aa79c9","0","34","","0","0","0","CLI02,A:A","0","0","CLI02,A_STATUS:S","0","0","CLI02,PRI_A:A","0","0","CLI02,CHK_A:A","0","0","","0","0","","0","0","","0","0",""
"65","852c6598-bc3d-417e-b335-981cfce5f886","0","34","","0","0","0","CLI02,A_A:A","0","0","CLI02,A_A_STATUS:S","0","0","CLI02,PRI_A_A:A","0","0","CLI02,CHK_A_A:A","0","0","","0","0","","0","0","","0","0",""
"66","28281cd2-a9b8-4ec8-9b49-c442fe24ba65","0","34","","0","0","0","CLI02,A_B:A","0","0","CLI02,A_B_STATUS:S","0","0","CLI02,PRI_A_B:A","0","0","CLI02,CHK_A_B:A","0","0","","0","0","","0","0","","0","0",""
"67","3f1595ca-e78f-417f-9dc5-bdc08f7bf0e7","0","34","","0","0","0","CLI02,A_C:A","0","0","CLI02,A_C_STATUS:S","0","0","CLI02,PRI_A_C:A","0","0","CLI02,CHK_A_C:A","0","0","","0","0","","0","0","","0","0",""
"68","5d34e33d-140a-494b-abff-244a3e632e19","0","34","","0","0","0","CLI02,A_N:A","0","0","CLI02,A_N_STATUS:S","0","0","CLI02,PRI_A_N:A","0","0","CLI02,CHK_A_N:A","0","0","","0","0","","0","0","","0","0",""
"69","00b7a55e-dd31-4899-ac81-9abe053b265a","0","34","","0","0","0","CLI02,FREQUENCY:A","0","0","CLI02,FREQUENCY_STATUS:S","0","0","CLI02,PRI_FREQUENCY:A","0","0","CLI02,CHK_FREQUENCY:A","0","0","","0","0","","0","0","","0","0",""
"70","59a0aec6-3dae-4516-bcd2-51b7fea0389f","0","34","","0","0","0","CLI02,PF:A","0","0","CLI02,PF_STATUS:S","0","0","CLI02,PRI_PF:A","0","0","CLI02,CHK_PF:A","0","0","","0","0","","0","0","","0","0",""
"71","a990ffd8-6d97-4991-8e9b-bf2643f692bd","0","34","","0","0","0","CLI02,PF_A:A","0","0","CLI02,PF_A_STATUS:S","0","0","CLI02,PRI_PF_A:A","0","0","CLI02,CHK_PF_A:A","0","0","","0","0","","0","0","","0","0",""
"72","eb8d4d3b-11b3-4eae-9d40-5686c219503e","0","34","","0","0","0","CLI02,PF_B:A","0","0","CLI02,PF_B_STATUS:S","0","0","CLI02,PRI_PF_B:A","0","0","CLI02,CHK_PF_B:A","0","0","","0","0","","0","0","","0","0",""
"73","171375ee-5c11-4436-af7d-06cb136fbae0","0","34","","0","0","0","CLI02,PF_C:A","0","0","CLI02,PF_C_STATUS:S","0","0","CLI02,PRI_PF_C:A","0","0","CLI02,CHK_PF_C:A","0","0","","0","0","","0","0","","0","0",""
"74","4649a66b-5c83-42ab-99b9-f21adcd1e82d","0","34","","0","0","0","EAS01,KW_COMP:A","0","0","EAS01,KW_COMP_STATUS:S","0","0","EAS01,PRI_KW_COMP:A","0","0","EAS01,CHK_KW_COMP:A","0","0","EAS01,KW_COMP_ESTIMATE:A","0","0","","0","0","","0","0",""
"75","048dde59-71f6-47ce-8292-6c9ab81552b2","0","34","","0","0","0","EAS01,KVAR_COMP:A","0","0","EAS01,KVAR_COMP_STATUS:S","0","0","EAS01,PRI_KVAR_COMP:A","0","0","EAS01,CHK_KVAR_COMP:A","0","0","","0","0","","0","0","","0","0",""
"76","e12dee23-d269-4a7b-a0cc-398de8f065b0","0","34","","0","0","0","EAS01,KW_A:A","0","0","EAS01,KW_A_STATUS:S","0","0","EAS01,PRI_KW_A:A","0","0","EAS01,CHK_KW_A:A","0","0","","0","0","","0","0","","0","0",""
"77","28ed2ba0-c98d-4b14-b7c5-9a994164e219","0","34","","0","0","0","EAS01,KW_B:A","0","0","EAS01,KW_B_STATUS:S","0","0","EAS01,PRI_KW_B:A","0","0","EAS01,CHK_KW_B:A","0","0","","0","0","","0","0","","0","0",""
"78","ef5d1fbf-f906-41b7-9c13-3d66d2a3cce9","0","34","","0","0","0","EAS01,KW_C:A","0","0","EAS01,KW_C_STATUS:S","0","0","EAS01,PRI_KW_C:A","0","0","EAS01,CHK_KW_C:A","0","0","","0","0","","0","0","","0","0",""
"79","b3504db3-1f7e-4047-b42f-38fae32330db","0","34","","0","0","0","EAS01,KW:A","0","0","EAS01,KW_STATUS:S","0","0","EAS01,PRI_KW:A","0","0","EAS01,CHK_KW:A","0","0","","0","0","","0","0","","0","0",""
"80","2f481ded-1a18-469b-8a42-27f7fea5ba94","0","34","","0","0","0","EAS01,KVAR:A","0","0","EAS01,KVAR_STATUS:S","0","0","EAS01,PRI_KVAR:A","0","0","EAS01,CHK_KVAR:A","0","0","","0","0","","0","0","","0","0",""
"81","aa8e0e9d-0661-4467-9b61-391a7abbccde","0","34","","0","0","0","EAS01,KVAR_A:A","0","0","EAS01,KVAR_A_STATUS:S","0","0","EAS01,PRI_KVAR_A:A","0","0","EAS01,CHK_KVAR_A:A","0","0","","0","0","","0","0","","0","0",""
"82","2a69ea3a-a132-464f-b71b-722bd6e7503e","0","34","","0","0","0","EAS01,KVAR_B:A","0","0","EAS01,KVAR_B_STATUS:S","0","0","EAS01,PRI_KVAR_B:A","0","0","EAS01,CHK_KVAR_B:A","0","0","","0","0","","0","0","","0","0",""
"83","0b8592fa-95f0-481c-9074-8f39c462ed51","0","34","","0","0","0","EAS01,KVAR_C:A","0","0","EAS01,KVAR_C_STATUS:S","0","0","EAS01,PRI_KVAR_C:A","0","0","EAS01,CHK_KVAR_C:A","0","0","","0","0","","0","0","","0","0",""
"84","b4674c3a-2663-4cee-8bd9-49a287c89835","0","34","","0","0","0","EAS01,FREQUENCY:A","0","0","EAS01,FREQUENCY_STATUS:S","0","0","EAS01,PRI_FREQUENCY:A","0","0","EAS01,CHK_FREQUENCY:A","0","0","","0","0","","0","0","","0","0",""
"85","3bdd9cfc-3d32-4050-ad74-197fb6f89573","0","34","","0","0","0","EAS01,V:A","0","0","EAS01,V_STATUS:S","0","0","EAS01,PRI_V:A","0","0","EAS01,CHK_V:A","0","0","","0","0","","0","0","","0","0",""
"86","ea36df1f-3bf8-44af-b5e4-c77bc7067077","0","34","","0","0","0","EAS01,V_A:A","0","0","EAS01,V_A_STATUS:S","0","0","EAS01,PRI_V_A:A","0","0","EAS01,CHK_V_A:A","0","0","","0","0","","0","0","","0","0",""
"87","aca58029-4a52-48ec-aaae-1b132e3f0b7e","0","34","","0","0","0","EAS01,V_B:A","0","0","EAS01,V_B_STATUS:S","0","0","EAS01,PRI_V_B:A","0","0","EAS01,CHK_V_B:A","0","0","","0","0","","0","0","","0","0",""
"88","4b209b26-77d0-417b-b9b5-06dfdbffdb12","0","34","","0","0","0","EAS01,V_C:A","0","0","EAS01,V_C_STATUS:S","0","0","EAS01,PRI_V_C:A","0","0","EAS01,CHK_V_C:A","0","0","","0","0","","0","0","","0","0",""
"89","8f4326f5-2022-417f-b46e-d283c2ee8a62","0","34","","0","0","0","EAS01,A:A","0","0","EAS01,A_STATUS:S","0","0","EAS01,PRI_A:A","0","0","EAS01,CHK_A:A","0","0","","0","0","","0","0","","0","0",""
"90","e3bd97ab-5118-4434-bb8e-181a438b58e1","0","34","","0","0","0","EAS01,A_A:A","0","0","EAS01,A_A_STATUS:S","0","0","EAS01,PRI_A_A:A","0","0","EAS01,CHK_A_A:A","0","0","","0","0","","0","0","","0","0",""
"91","46eb1429-2143-4910-a876-fc376850bfbf","0","34","","0","0","0","EAS01,A_B:A","0","0","EAS01,A_B_STATUS:S","0","0","EAS01,PRI_A_B:A","0","0","EAS01,CHK_A_B:A","0","0","","0","0","","0","0","","0","0",""
"92","144533b2-7834-4f4c-a2ff-bc4d1245a622","0","34","","0","0","0","EAS01,A_C:A","0","0","EAS01,A_C_STATUS:S","0","0","EAS01,PRI_A_C:A","0","0","EAS01,CHK_A_C:A","0","0","","0","0","","0","0","","0","0",""
"93","c2cd91ea-b3cd-4cb4-b479-8031f62b2920","0","34","","0","0","0","EAS01,A_N:A","0","0","EAS01,A_N_STATUS:S","0","0","EAS01,PRI_A_N:A","0","0","EAS01,CHK_A_N:A","0","0","","0","0","","0","0","","0","0",""
"94","4e77a6eb-6dc3-40e8-bdb9-9705caf97911","0","34","","0","0","0","EAS01,PF:A","0","0","EAS01,PF_STATUS:S","0","0","EAS01,PRI_PF:A","0","0","EAS01,CHK_PF:A","0","0","","0","0","","0","0","","0","0",""
"95","9a5b2a8c-f348-48b5-9e28-3054e4099c27","0","34","","0","0","0","EAS01,PF_A:A","0","0","EAS01,PF_A_STATUS:S","0","0","EAS01,PRI_PF_A:A","0","0","EAS01,CHK_PF_A:A","0","0","","0","0","","0","0","","0","0",""
"96","17b2fce7-e1c6-42b5-a4ce-d8677f8e0566","0","34","","0","0","0","EAS01,PF_B:A","0","0","EAS01,PF_B_STATUS:S","0","0","EAS01,PRI_PF_B:A","0","0","EAS01,CHK_PF_B:A","0","0","","0","0","","0","0","","0","0",""
"97","14a04a52-8737-4e3f-8249-c07792c34fe3","0","34","","0","0","0","EAS01,PF_C:A","0","0","EAS01,PF_C_STATUS:S","0","0","EAS01,PRI_PF_C:A","0","0","EAS01,CHK_PF_C:A","0","0","","0","0","","0","0","","0","0",""
"98","651c2b86-aba3-403f-928b-5ab49d5a9c7f","0","34","","0","0","0","EAS03,KW_COMP:A","0","0","EAS03,KW_COMP_STATUS:S","0","0","EAS03,PRI_KW_COMP:A","0","0","EAS03,CHK_KW_COMP:A","0","0","EAS03,KW_COMP_ESTIMATE:A","0","0","","0","0","","0","0",""
"99","f5661249-a090-4a0c-8d23-ec34f94416ae","0","34","","0","0","0","EAS03,KW_A:A","0","0","EAS03,KW_A_STATUS:S","0","0","EAS03,PRI_KW_A:A","0","0","EAS03,CHK_KW_A:A","0","0","","0","0","","0","0","","0","0",""
"100","cd5048ed-a66f-49d8-a294-eba86f67204c","0","34","","0","0","0","EAS03,KW_B:A","0","0","EAS03,KW_B_STATUS:S","0","0","EAS03,PRI_KW_B:A","0","0","EAS03,CHK_KW_B:A","0","0","","0","0","","0","0","","0","0",""
"101","49e43dd7-1226-40a0-b851-277bdb34a578","0","11","","0","0","0","EAS05,PRI_MESSAGES_BAD:A","0","0","EAS05,PRI_MESSAGES_GOOD:A","0","0","EAS05,PRI_TIMEOUTS:A","0","0","EAS05,PRI_TOTAL_MSG_RCV:A","0","0","EAS05,PRI_TOTAL_MSG_SNT:A","0","0","","0","0","","0","0",""
